track_id,track_name,artist_name,cosine_dist_mod2,predicted_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,0.007740759436511979,opm acoustic,0.631,0.381,0.4981342379452387,0.04,0.447,0.000171,0.0902,0.36,0.4915459566486035,0.4006545472730476,0.0159605289047077,0.1477488557787163,0.1138854651041303,0.0131127245104998,0.308637878428898
696Gt2ZDsC1cxXEZo02azD,We Can't Be,Krissy,0.008700832939144143,opm acoustic,0.516,0.31,0.4833535255633633,0.0279,0.565,0.0,0.113,0.33,0.510134431012922,0.4868988854885673,0.0248780187901375,0.1142837715400065,0.0319787501272036,0.0097750824543065,0.3321854915997783
0mqJsNkF3MRtBkRhzVskVX,We Can't Be,Krissy,0.008700832939144143,opm acoustic,0.516,0.31,0.4833535255633633,0.0279,0.565,0.0,0.113,0.33,0.510134431012922,0.4868988854885673,0.0248780187901375,0.1142837715400065,0.0319787501272036,0.0097750824543065,0.3321854915997783
267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,0.00921714778917615,opm acoustic,0.551,0.329,0.5503271141264842,0.0431,0.648,3.82e-05,0.0925,0.331,0.5807172259274699,0.4953228936645745,0.0255328477233151,0.1783134610810447,0.0625851198169077,0.0128264588471278,0.2254192188670304
4NZJUFjccdGUfRb7z7Igbd,Sana Ngayong Pasko,Silent Sanctuary,0.009376874478276065,opm acoustic,0.678,0.387,0.5910346498667313,0.0295,0.667,0.0,0.186,0.369,0.498456388078366,0.489790292680154,0.0239624167541668,0.2094298674485895,0.0674871622564307,0.0179460386660933,0.1913842221945654
3gkwEytdCYIsrFdfEE2ALW,Mahika,TJ Monterde,0.01077417650353163,opm acoustic,0.545,0.49,0.7348194814635328,0.0289,0.557,7.69e-05,0.127,0.372,0.5825539287203001,0.3385778416207261,0.0248841969437806,0.1392752264006643,0.0439527064811921,0.0192856372041414,0.4340243913494949
5uBWj5DHsKw3DayLOuh7by,Heartbeats,Andrea Babierra,0.011602759685201969,opm acoustic,0.62,0.42,0.5238672158953236,0.0283,0.715,0.00941,0.111,0.32,0.5562473947478116,0.5082740251586753,0.0270788402214326,0.1996997281206863,0.0511439334763227,0.0202567273617145,0.1935467456611686
2B8ThVsaxp4aFeY5GnKNhS,Heartbeats,Andrea Babierra,0.011602759685201969,opm acoustic,0.62,0.42,0.5238672158953236,0.0283,0.715,0.00941,0.111,0.32,0.5562473947478116,0.5082740251586753,0.0270788402214326,0.1996997281206863,0.0511439334763227,0.0202567273617145,0.1935467456611686
1FHCU1rDAeaPsBW9byjJ0Q,12:51,krissy & ericka,0.012097002764433595,opm acoustic,0.503,0.357,0.6167676278168162,0.0272,0.727,0.0,0.128,0.438,0.5575044289287202,0.3930026696685502,0.0396895326386617,0.2066327336292091,0.0351475122754212,0.0176358139026164,0.3078917378855412
6sl4KzZ9PRb8xTzjYIrHAP,Someday,Leanne & Naara,0.014602837979601713,opm acoustic,0.581,0.325,0.529731039496002,0.0461,0.616,0.0,0.133,0.276,0.4658451438099208,0.5492501763603961,0.0206951756864948,0.153259881982217,0.0788108431578584,0.0123976306977222,0.1855862921153117
