Unnamed: 0,track_name,track_id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
54,Game of Questions,6KTjHpX77i9Ge395Qzo40h,I Belong to the Zoo,0.35,0.321,7,0.6114203912836009,1,0.0289,0.856,0.0,0.0969,0.24,0.30559628136350014,0,opm acoustic,0.625480217794438,0.625480217794438,0.03302226881365573,0.12350023648638098,0.05000994371503816,0.006030697600629566,0.16195663558985782
21,Asan Ka Na Ba,5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,0.676,0.768,5,0.8198663909654842,0,0.0294,0.149,0.00147,0.345,0.493,0.38317616873812943,5,opm rock,0.6151070823510505,0.03304790276260869,0.10146511125972862,0.05446347630717947,0.14452550050027646,0.05139092681915637,0.6151070823510505
42,Di Na Mag-iisa,3YaKDCOO28ZzQh059eAgdt,NOBITA,0.497,0.213,7,0.15221886432320653,1,0.0389,0.576,2.65e-06,0.367,0.196,0.5928742794308753,0,opm acoustic,0.6139016578863948,0.6139016578863948,0.020025494440736244,0.10479011833048023,0.03978218173800567,0.007741454686300522,0.2137590929180823
6,Sinag (feat. Sam Benwick),5DARNIgi6aaJxGD5SKAUal,Arthur Nery,0.54,0.287,9,0.24526801336090354,1,0.0314,0.876,0.00012,0.0803,0.215,0.12511245876511945,0,opm acoustic,0.6136320761745752,0.6136320761745752,0.026135442503999497,0.19699722653798096,0.04317302622680722,0.014903728998662288,0.10515849955797495
3,Happy w u,0EA8jl8Wje9ALRKC8Qlzyt,Arthur Nery,0.596,0.182,6,0.0,1,0.0378,0.903,0.0,0.0909,0.268,0.43095031821665397,0,opm acoustic,0.6081021017191922,0.6081021017191922,0.02616862913026993,0.17533743239020508,0.03477891045771372,0.01897059473052606,0.136642331572093
39,Ikaw Lang,16iRlyUMJVPqz62DlomMre,NOBITA,0.513,0.38,11,0.39072689677111505,1,0.0336,0.12,0.0,0.0924,0.323,0.5077388290959982,5,opm rock,0.5990285682670039,0.1695132063940176,0.015153352995964452,0.11380976940847033,0.07608065184302963,0.02641445109151431,0.5990285682670039
2,Higa,7gfrASeOt73YWvpIv1fU8E,Arthur Nery,0.656,0.336,9,0.43470653729918873,1,0.0434,0.453,0.0,0.106,0.182,0.5419429542501085,0,opm acoustic,0.5990038710493406,0.5990038710493406,0.010682954985217185,0.07515017343036183,0.15910374809031894,0.0146667171562806,0.14139253528848048
4,Binhi,092cPwFlwBXdB3QF3X469W,Arthur Nery,0.46,0.311,5,0.4588038810243359,1,0.0319,0.961,0.000819,0.189,0.22,0.5347372630035655,0,opm acoustic,0.5984131457012993,0.5984131457012993,0.024336467283373325,0.21733929265295623,0.06417090878019377,0.01098468772211786,0.0847554978600592
13,Dungaw,3XlzKAS2zostN3UiBJvLW6,Adie,0.613,0.291,5,0.3094480674407507,1,0.0453,0.696,0.0,0.0823,0.264,0.49426043783945894,0,opm acoustic,0.5920749102953357,0.5920749102953357,0.023644383489966666,0.15609518913798837,0.06859352892677081,0.01679424295846941,0.1427977451914687
33,Kathang Isip,3WUEs51GpcvlgU7lehLgLh,Ben&Ben,0.491,0.314,10,0.5904246858597104,1,0.0301,0.776,4.76e-06,0.152,0.295,0.5574622638365935,0,opm acoustic,0.5855576506278164,0.5855576506278164,0.032487202233963744,0.15159801275049936,0.03545576203169221,0.01144801573278747,0.18345335662324086
34,Araw-Araw,4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,0.475,0.424,11,0.6055352314299347,1,0.0295,0.582,0.0,0.234,0.224,0.6739362233847589,0,opm acoustic,0.5807087653633977,0.5807087653633977,0.023101974134919864,0.08739977120302318,0.03551146847351791,0.011940043794211926,0.2613379770309295
5,TAKE ALL THE LOVE,2v6jmF6VQWS96x6tSg05IC,Arthur Nery,0.491,0.486,5,0.7488468267854301,1,0.0347,0.285,0.0,0.0976,0.262,0.18668155009829734,5,opm rock,0.5781131450610797,0.23867634034937585,0.015048691938111586,0.0756208747539798,0.0703514223420564,0.02218952555539636,0.5781131450610797
47,Tayong Dalawa Sa Pasko,6kvTjP9wlYW9qXEa4muMgy,NOBITA,0.418,0.201,0,0.34953077779545094,1,0.0315,0.298,0.0,0.121,0.239,0.4384392389457199,5,opm rock,0.5657008412485004,0.2573693313106363,0.0231553469159498,0.10604870660927224,0.037005346329656526,0.010720427585984604,0.5657008412485004
10,Mahika,47sq83n5WN22ZzYnGn8aTy,Adie,0.635,0.451,7,0.6837919516462541,1,0.0391,0.742,0.0,0.139,0.601,0.18305787877778157,2,opm jazz,0.5537574193612792,0.15256096472470043,0.026833084853796003,0.5537574193612792,0.05991442364601255,0.04834314982737793,0.1585909575868341
53,Oras,2W8lOPzh50eyop8MTvcHjT,I Belong to the Zoo,0.425,0.32,9,0.16987434388420541,1,0.0305,0.273,2.37e-05,0.301,0.207,0.7495418346606247,5,opm rock,0.5524315895007719,0.2695646265834747,0.01577129478385341,0.10113980398675064,0.048078346389043014,0.013014338756106041,0.5524315895007719
12,Tahanan,5CUQnKjA6nlteCnxMKsjIu,Adie,0.394,0.366,3,0.4094957849530777,1,0.031,0.799,1.05e-06,0.315,0.3,0.4153560361200893,0,opm acoustic,0.5498731979083826,0.5498731979083826,0.040217324132690344,0.12771451841338896,0.04496680593769683,0.010110845291065878,0.22711730831677515
26,Pero,1i7JnFAxC15AuF1dsosbYM,Zack Tabudlo,0.644,0.412,5,0.5458883410211547,0,0.0307,0.796,0.127,0.0906,0.206,0.4872296824497685,0,opm acoustic,0.5478422478047128,0.5478422478047128,0.027833135955231517,0.19578316575951094,0.0747983588080153,0.03673280453974951,0.11701028713277987
1,Pagsamo,0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,0.644,0.315,6,0.5266422777159216,1,0.0339,0.706,0.00162,0.0962,0.356,0.0,0,opm acoustic,0.5433941320548337,0.5433941320548337,0.027057075136604568,0.18597370255112042,0.05098749373679738,0.01829739571920011,0.17429020080144392
48,Sana - Single Version,1X4l4i472kW5ofFP8Xo0x0,I Belong to the Zoo,0.66,0.373,7,0.6465722920311754,1,0.029,0.701,0.0,0.226,0.348,0.5571790343540702,0,opm acoustic,0.5218113817537325,0.5218113817537325,0.025989722182743674,0.20288406078852825,0.05441628104886303,0.019607931995209823,0.17529062223092307
46,Yakap,40AHSwhY60qEOC0TySp9uA,NOBITA,0.665,0.67,9,0.7975186893589946,1,0.0287,0.0225,1.08e-05,0.284,0.445,0.325339042351138,5,opm rock,0.5198866116716546,0.021905269849704315,0.09145481500655378,0.03335666022099129,0.23880941337353145,0.09458722987756471,0.5198866116716546
49,Balang Araw - Single Version,5NXdUJ3Z2jhlp2u1cj6f7m,I Belong to the Zoo,0.523,0.391,7,0.5345156672498806,1,0.0298,0.395,0.0,0.142,0.354,0.665622605044817,5,opm rock,0.5129487505016315,0.29708950186137967,0.018604097078070633,0.11380322569299998,0.04257280063862576,0.014981624227292762,0.5129487505016315
14,Kabado,7oLe1cVRqLpoH2NozJ78mh,Adie,0.55,0.461,1,0.40536026721806895,1,0.0457,0.763,0.00485,0.0682,0.17,0.6488620839025693,0,opm acoustic,0.5049186474208152,0.5049186474208152,0.028459557708968436,0.19761073215790945,0.1084717718155867,0.03620987694216771,0.12432941395455234
55,The One With The Snowflake,7bjzkR18f3SRsX64rPLbZg,I Belong to the Zoo,0.489,0.271,4,0.18108795928105614,1,0.0328,0.77,0.0,0.135,0.41,0.6424394388724136,0,opm acoustic,0.4899922185316057,0.4899922185316057,0.03926113286848807,0.16820344633765336,0.038564261209714186,0.015151721750877433,0.24882721930166107
9,Hung Up,5YHXL4ggZEHZUgQBgLF0Oz,Arthur Nery,0.549,0.36,11,0.45808811833943053,1,0.0549,0.771,0.000113,0.691,0.258,0.4720435840191931,0,opm acoustic,0.4819219134136267,0.4819219134136267,0.026249154942355878,0.24576504960895626,0.10079168861710783,0.021045371178221497,0.12422682223973147
8,Cotton Candy,1t19LlMX4aomJ1U9MDzan8,Arthur Nery,0.473,0.371,1,0.45609988865913786,0,0.128,0.697,0.0,0.103,0.292,0.9995085135450336,3,opm rap,0.46732784063030286,0.1034594982164864,0.01653410159261638,0.3451331006943374,0.46732784063030286,0.018805791426503043,0.04873966743975397
18,Sawa Na,0LoXmqWDjLVi6uHh25DtaP,Adie,0.651,0.417,9,0.46230316526165094,1,0.0265,0.494,0.000678,0.0856,0.359,0.39985338709139995,0,opm acoustic,0.46188221735789686,0.46188221735789686,0.017743212530081903,0.12870719285623072,0.07159401093319187,0.013497742582550898,0.3065756237400479
7,Life Puzzle,42A9RtOizRYgILd4muMvto,Arthur Nery,0.719,0.234,4,0.16072848735485912,1,0.0884,0.586,0.0,0.0785,0.362,0.28258805104794915,3,opm rap,0.4505632056567746,0.27112957607515414,0.01987779118036007,0.137870945890683,0.4505632056567746,0.0375152095874173,0.08304327160961093
23,Habang Buhay,63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,0.62,0.668,9,0.8179576904724033,1,0.0305,0.088,0.0,0.362,0.183,0.4832561394155478,5,opm rock,0.4485416505119295,0.07869841598108268,0.030804473919507247,0.019591061636409533,0.307346292607883,0.11501810534318817,0.4485416505119295
40,Unang Sayaw,4iRRAvxPPWXQp3mV1rAbPF,NOBITA,0.5,0.397,9,0.3460314935581358,1,0.0557,0.412,0.0,0.126,0.375,1.0,5,opm rock,0.44042756401332905,0.22313372478367718,0.01954698151593534,0.19070806924169176,0.10871044283431985,0.017473217611046664,0.44042756401332905
44,The Search Is Over,7g7mYjkJzHkCye65pzfK7Q,NOBITA,0.331,0.294,9,0.284157785907428,1,0.0316,0.427,3.15e-06,0.0742,0.112,0.5965645929825732,0,opm acoustic,0.4268246096968822,0.37249208675280443,0.020783897112402593,0.1153612759833299,0.05431275317819092,0.010225377276390031,0.4268246096968822
17,Tinatangi (feat. Chrstn),5Pgssd39LAfVsR9gvUVwU7,Adie,0.479,0.463,5,0.5469222204549068,1,0.0318,0.773,0.000478,0.0942,0.359,0.1150828029722436,0,opm acoustic,0.4029571543905202,0.4029571543905202,0.039484825386230674,0.1962849266539319,0.044656825438026786,0.02298555513735409,0.2936307129939363
22,Nangangamba,1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,0.62,0.547,1,0.7342134563384761,1,0.0248,0.112,0.0,0.19,0.208,0.3168088367598547,0,opm acoustic,0.38888591589893073,0.17483832739433014,0.021856510930057277,0.04119405445583141,0.3080487639649119,0.06517642735593852,0.38888591589893073
20,Give Me Your Forever,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,0.627,0.363,8,0.6264514076666134,1,0.0291,0.279,0.0,0.0928,0.301,0.33241144913531717,0,opm acoustic,0.38743145802319984,0.38369628282695545,0.014587524282831355,0.08612355992995667,0.11280127263130436,0.015359902305751887,0.38743145802319984
50,Sana,1ligR6l4uqjSyigzJ4Zgdj,I Belong to the Zoo,0.598,0.502,7,0.7410529664386829,1,0.0247,0.084,0.0,0.186,0.174,0.5744143813934891,0,opm acoustic,0.38067874459644596,0.1967300289567595,0.01772839574046189,0.045478500781390735,0.29135640206039753,0.06802792786454422,0.38067874459644596
37,Make It With You,2Mo4pOpCYXOu33856sMQLh,Ben&Ben,0.558,0.458,4,0.4209479879115635,1,0.0485,0.7,2.11e-05,0.186,0.342,0.22388457565559294,0,opm acoustic,0.3731757621893938,0.3731757621893938,0.027644049734769076,0.25944708648992404,0.09063224900329918,0.026157614950162982,0.2229432376324504
19,Pano,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,0.375,0.457,3,0.7146492762843962,1,0.0315,0.868,0.0145,0.191,0.415,0.9566325680583788,0,opm acoustic,0.368844435511215,0.368844435511215,0.04885214375869797,0.1654678486882198,0.048061694878237554,0.019235202046887306,0.34953867511674225
36,Pagtingin,5l9g7py8RCblcvbZgGQgSd,Ben&Ben,0.669,0.42,2,0.5996500715762684,1,0.0253,0.506,0.0,0.404,0.523,0.2919596148079039,2,opm jazz,0.3550648424877954,0.2702106660465019,0.01865038317727412,0.27505836967381303,0.06191512129779906,0.01910061731681657,0.3550648424877954
56,Maybe,2Qj2gsRuV9Jz3Ivu3pnfPm,I Belong to the Zoo,0.672,0.569,9,0.6247017655479561,0,0.0487,0.492,0.0,0.196,0.463,0.5831361833994201,2,opm jazz,0.31202268841070635,0.1759334995713453,0.018642414781256073,0.24294927394976296,0.22321171277910776,0.027240410507821798,0.31202268841070635
25,Yakap,3h8uWt8HNyDNubPSEBgTPG,Zack Tabudlo,0.738,0.39,8,0.6017973596309846,1,0.0334,0.409,0.0,0.107,0.547,0.4496517943420747,5,opm rock,0.3109161410516752,0.2667343922455811,0.018095469729827503,0.22317701881616925,0.15812629044168225,0.022950687715064522,0.3109161410516752
0,Isa lang,0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,0.429,0.464,6,0.6011611261332908,0,0.0719,0.783,0.0,0.0846,0.375,0.509554829895705,2,opm jazz,0.290963803241109,0.2530826995099864,0.03901610100722622,0.290963803241109,0.1478868733343694,0.02631954872311442,0.24273097418419418
27,As You Are,7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,0.715,0.438,10,0.7839191983457927,0,0.0373,0.353,1.75e-06,0.108,0.447,0.1755106460964313,0,opm acoustic,0.28585145071719553,0.2608779846527088,0.01890876129718003,0.15218313355788635,0.2615790780836922,0.020599591691336818,0.28585145071719553
